eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,total_timesteps
1000.0,-233.41644358999994,1151,0.02354886,0.29780275,4.4883013,-0.054233365,8.331281,0.17248940467834473,65,133120,115.74687262299994,133120
1000.0,-224.00721471,1163,0.020697352,0.28139648,4.4113874,-0.053436212,12.39408,0.2222570776939392,66,135168,117.50778158600042,135168
1000.0,-213.46109377999997,1153,0.019672725,0.27685547,4.357453,-0.050443113,13.713056,0.2415791153907776,67,137216,119.2829485759994,137216
1000.0,-201.68112487000002,1142,0.021462042,0.29433593,4.294386,-0.052331842,14.8648815,0.252430260181427,68,139264,121.07669062900095,139264
1000.0,-190.38770403,1143,0.018642915,0.26254883,4.238415,-0.04623543,15.459157,0.2620340585708618,69,141312,122.86817752599927,141312
1000.0,-179.05340917,1143,0.024486478,0.32094726,4.1450815,-0.055319548,16.34588,0.2377532720565796,70,143360,124.65899224399982,143360
1000.0,-167.96561151999998,1160,0.025313497,0.31816405,4.047368,-0.05429523,14.4853945,0.2131301760673523,71,145408,126.42371601400009,145408
1000.0,-155.87544783,1135,0.021186166,0.2869629,3.9699771,-0.051949132,15.789777,0.3400985598564148,72,147456,128.22798349799996,147456
1000.0,-145.47509526,1153,0.021817217,0.27597657,3.889859,-0.053539496,15.348425,0.3917757272720337,73,149504,130.0043084280005,149504
1000.0,-133.58013933,1146,0.025420511,0.3328125,3.8188262,-0.05426677,18.697857,0.19493746757507324,74,151552,131.79126550100045,151552
1000.0,-121.19141521000002,1157,0.015770493,0.2290039,3.772204,-0.045498524,19.08749,0.3860648274421692,75,153600,133.560621052,153600
1000.0,-112.53099028000001,1158,0.02132196,0.2842285,3.7216015,-0.04870396,20.54977,0.39534062147140503,76,155648,135.32851423899956,155648
1000.0,-99.26548505999999,1154,0.023664461,0.3131836,3.6527057,-0.052792203,21.947481,0.3306056261062622,77,157696,137.10328316400046,157696
