eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
1000.0,-175.84010196,816,0.028261969,0.35292968,4.303414,-0.056945443,12.642494,0.37922316789627075,72,147456,175.9118907709999,147456
1000.0,-164.39325627,806,0.025213141,0.32436523,4.24464,-0.05116439,15.680052,0.24184483289718628,73,149504,178.45196121400113,149504
1000.0,-151.22006448,809,0.024524027,0.31103516,4.181407,-0.0517375,20.143396,0.28933393955230713,74,151552,180.98277562899966,151552
1000.0,-138.83937728,821,0.021695176,0.27836913,4.1207795,-0.047516737,18.794788,0.5201821327209473,75,153600,183.47715336200054,153600
1000.0,-128.20539729,816,0.015003724,0.21850586,4.072072,-0.04341092,19.569164,0.5279898941516876,76,155648,185.98543174600127,155648
1000.0,-118.41105268999998,826,0.02301285,0.30683595,4.007238,-0.052309006,16.095041,0.44750237464904785,77,157696,188.46438219000083,157696
1000.0,-106.77859396999999,823,0.028534511,0.33632812,3.9184132,-0.049947575,21.872725,0.26777535676956177,78,159744,190.9528769540011,159744
1000.0,-93.68930257000002,816,0.02820991,0.339209,3.840388,-0.053020857,19.471895,0.3826940655708313,79,161792,193.46298659199965,161792
1000.0,-80.44370169000001,822,0.027904347,0.33735353,3.776647,-0.052948397,23.723774,0.15113091468811035,80,163840,195.95374431600067,163840
1000.0,-65.48913748,821,0.02230374,0.29160157,3.7281575,-0.05100754,21.049139,0.4928726553916931,81,165888,198.4483108350014,165888
1000.0,-54.05543272999999,824,0.019251375,0.26103514,3.674092,-0.042771004,28.103298,0.5470950305461884,82,167936,200.9344476189999,167936
1000.0,-38.921225050000004,826,0.027112791,0.34267578,3.603941,-0.055308115,27.32137,0.2583862543106079,83,169984,203.41185758100073,169984
1000.0,-20.627615849999998,819,0.01774808,0.24833985,3.5518086,-0.043801222,28.730984,0.6102042496204376,84,172032,205.9108519600013,172032
1000.0,-7.232800029999993,822,0.019987792,0.26186523,3.5178,-0.04134246,28.671198,0.6018620729446411,85,174080,208.40296200800003,174080
1000.0,6.668795820000005,821,0.02043822,0.27119142,3.4727504,-0.047525913,34.886047,0.6246799230575562,86,176128,210.89732282499972,176128
1000.0,21.341666510000003,818,0.019136015,0.2618164,3.4218745,-0.041339386,37.120773,0.6323574185371399,87,178176,213.39959877399997,178176
