# {"t_start": 1557708010.7510557, "env_id": "LunarLanderContinuous-v2"} 
r,l,t
-136.791825,77,197.572004
-485.433891,113,197.867548
-66.460557,89,198.094027
-141.491358,80,198.300908
-377.884512,73,198.490772
-200.164788,85,198.707337
-167.785116,96,198.951967
-152.344288,123,199.276997
-127.29036,120,199.724769
-400.797883,82,199.922416
-447.878215,111,200.201395
-110.699554,137,200.571079
-330.056148,84,200.773157
-126.66608,65,200.930961
-244.347049,103,201.194971
-65.782778,61,201.343088
-237.212947,62,201.496843
-188.761959,101,201.74773
-127.905967,85,201.961767
-126.115304,94,202.196986
-377.982262,83,202.406718
-98.815028,64,202.563819
-378.335018,81,202.761716
-156.241597,57,202.896079
-412.114017,105,203.16427
-348.905001,101,203.417134
-233.915743,94,203.652137
-329.0992,61,203.794781
-178.192532,106,204.068815
-203.403805,95,204.311527
-254.395286,84,204.529095
-382.67332,89,204.893054
-196.821287,57,205.027498
-159.163394,98,205.266841
-105.680814,84,205.476497
-155.333709,93,205.715999
-46.694243,64,205.873387
-124.459132,59,206.037448
-318.501642,124,206.350609
-277.38596,94,206.598127
-119.998258,83,206.799471
-99.790662,78,206.987428
-231.183808,89,207.212721
-356.288049,93,207.458606
-64.992041,63,207.608874
-251.764264,129,207.952005
-111.085906,87,208.159905
-123.408187,90,208.379242
-138.239335,62,208.532305
-232.879729,106,208.80406
-93.294835,59,208.942119
-101.238758,102,209.202566
-248.452981,80,209.399069
-110.44264,64,209.553106
-562.891291,84,209.760809
-157.996188,83,210.103167
-261.387214,86,210.311639
-100.620016,76,210.497156
-95.897492,60,210.641788
-183.442114,73,210.81291
-186.101332,85,211.020379
-182.401847,71,211.196172
-81.457703,103,211.450475
-98.063983,114,211.726188
-112.522284,75,211.901651
-212.53564,75,212.06867
-145.129222,72,212.247839
-134.744164,70,212.419423
-113.345703,125,212.722186
-241.878382,108,212.989848
-107.165675,79,213.185779
-44.936356,64,213.336673
-195.71018,97,213.58774
-325.901376,91,213.807848
-137.149622,124,214.122011
-381.779588,95,214.343107
-104.13873,57,214.488562
-291.715161,89,214.700537
-581.183062,97,214.939854
-73.863909,115,215.367629
-52.252063,63,215.519634
-302.675758,94,215.746232
-56.203688,71,215.928102
-230.41234,109,216.196613
-175.154666,112,216.468753
-126.179313,83,216.671751
-18.005111,69,216.833553
-301.463693,104,217.095016
-113.312004,94,217.332848
-110.706451,76,217.520727
-0.534898,82,217.72436
-126.08724,100,217.97866
-277.343705,110,218.262838
-109.023516,87,218.485389
-219.63849,79,218.685439
-92.459398,63,218.841227
-174.012701,67,219.004525
-176.259258,78,219.187263
-164.292203,84,219.401087
-358.985937,127,219.73333
-89.339573,104,219.984357
-111.761425,126,220.453235
-94.309752,111,220.727882
-96.733309,84,220.933294
-300.027095,89,221.158611
-135.755682,126,221.481618
-58.602768,65,221.633329
-88.560958,68,221.794717
-150.210593,108,222.074409
-269.449169,123,222.390629
-65.152987,83,222.595185
-250.35131,132,222.963173
-89.031294,65,223.12592
-64.453221,85,223.338436
-95.240009,75,223.520475
-88.220553,66,223.677253
-78.90245,60,223.824343
-68.360943,71,224.00158
-142.34416,84,224.214583
-107.713731,62,224.361722
-72.026272,101,224.619756
-229.440664,132,224.971806
-121.277311,74,225.146167
-179.061287,99,225.388093
-74.630674,78,225.728003
3.139749,93,225.958174
-172.778814,77,226.155046
-76.282663,67,226.318977
-165.023721,85,226.531249
-253.028772,107,226.803616
-59.710586,63,226.961626
-82.915942,100,227.211839
-156.714536,104,227.482191
-110.203528,81,227.687056
-134.13174,95,227.923512
-74.562679,68,228.081529
-75.537545,76,228.269856
-122.506871,99,228.524963
-177.323051,81,228.728297
-81.433777,99,228.97685
-244.532516,106,229.248425
-94.814971,75,229.426777
-87.771878,82,229.632394
-105.735397,77,229.829978
-84.682351,62,229.975782
-106.925382,68,230.146749
-178.911169,98,230.393954
-133.332164,90,230.621543
-74.197336,165,231.214862
-214.915372,104,231.477102
-82.919554,79,231.673402
-236.084796,83,231.883738
-372.194586,106,232.143703
-77.694762,62,232.297956
-112.358572,106,232.57126
-244.451362,87,232.800394
-125.077572,93,233.04335
-247.495074,100,233.292803
-66.478117,64,233.453408
-118.235586,75,233.641676
-224.911288,114,233.941365
-355.156324,82,234.147789
-103.462444,127,234.477336
-133.637868,125,234.821148
-82.004337,70,234.994262
-368.571847,83,235.196869
-108.453334,108,235.476716
-90.845804,81,235.696702
-425.382603,132,236.033025
-113.995042,70,236.202421
-102.937227,89,236.561868
-128.364836,66,236.722388
-404.304899,99,236.967484
-86.344012,69,237.138175
-422.352856,112,237.433547
-50.804594,72,237.61012
-279.962983,138,237.975272
-122.384726,87,238.196874
-304.126851,92,238.441038
-282.101174,107,238.700405
10.736931,91,238.926589
-177.833071,106,239.184141
-220.241617,89,239.404853
-297.827342,79,239.5891
-149.831394,81,239.786126
-193.703754,83,239.982924
-9.404435,161,240.437196
-261.91411,83,240.634598
-90.22545,93,240.86827
-351.335117,98,241.123341
-451.197313,135,241.468211
-170.479363,76,241.798733
-139.898478,65,241.951567
-371.361596,126,242.274702
-43.33181,66,242.437154
-133.580691,85,242.652326
-69.612757,79,242.851857
-96.976083,66,243.009835
-174.325946,103,243.27037
-78.849506,84,243.478149
-85.908481,131,243.828136
-329.568067,80,244.031108
-70.193388,116,244.327588
-44.797836,72,244.502743
-67.839781,112,244.798265
-395.707335,86,245.013448
-197.934765,78,245.20225
-254.622533,71,245.383127
-149.407035,104,245.654825
-175.69168,68,245.827732
-75.877171,75,246.024055
-122.669338,90,246.247245
-361.322826,91,246.482555
-284.620136,88,246.70381
-329.506922,103,247.120626
-341.653261,86,247.331214
-313.896238,101,247.592626
-329.951029,82,247.801545
-164.806175,100,248.051611
-189.929284,70,248.216828
-58.452202,78,248.426251
-323.948983,95,248.668493
-86.043478,71,248.845678
-184.039876,95,249.089783
-102.393023,82,249.299197
-65.311614,71,249.475924
-236.772572,90,249.698182
-114.229041,78,249.884366
-207.071853,84,250.089569
-413.032852,130,250.446312
-103.313671,73,250.632885
-356.979169,88,250.860068
-123.538574,94,251.09473
-103.962838,67,251.257559
-111.189662,87,251.476496
-322.797535,145,251.863642
-295.13672,131,252.210018
-180.481588,123,252.66883
-50.94377,157,253.104813
-230.095441,104,253.369958
-113.890401,104,253.641301
-107.610221,125,253.956527
-103.100688,84,254.167481
-187.56995,99,254.416564
-88.117938,126,254.749017
-70.009917,127,255.08344
-65.970033,70,255.274762
-161.786178,85,255.486084
-43.158758,76,255.681858
-157.868679,110,255.970544
-101.141673,95,256.209757
-324.80236,137,256.586132
-111.989621,77,256.770167
-116.612573,101,257.029521
-24.28913,81,257.22693
-56.001147,90,257.450524
-85.187166,145,257.98379
-288.765855,109,258.265666
-334.309559,101,258.516531
-183.215713,118,258.819385
-75.826287,60,258.966165
-182.745233,88,259.190443
-27.153813,92,259.425241
-25.262118,144,259.806683
-112.53578,77,260.002549
-177.434725,116,260.302695
-103.784587,71,260.482394
-186.16266,131,260.827536
-363.3808,105,261.096164
-381.501267,94,261.329616
-60.098873,111,261.615878
-49.232309,72,261.791958
-111.895368,111,262.070555
-90.031559,77,262.267499
-174.684172,71,262.441288
-190.621674,123,262.758743
-49.901306,73,262.940333
-322.801832,90,263.308035
-425.258322,110,263.592403
-78.104336,72,263.770133
-190.354625,108,264.063029
-138.276262,133,264.418388
-101.797231,91,264.640991
-92.999125,90,264.871019
-317.60925,109,265.162031
-465.635217,112,265.439716
-76.072818,62,265.587578
-86.095593,66,265.745017
-170.306113,86,265.966943
-238.993841,70,266.133102
-140.445947,57,266.266727
-388.367865,116,266.554646
-86.325712,72,266.734632
-344.457872,114,267.025024
-153.709919,116,267.322124
-456.526505,92,267.561752
-312.084443,100,267.819403
-69.730439,78,268.007624
-343.786554,106,268.285539
-105.902346,114,268.721816
38.836209,1000,274.968572
-167.186001,84,275.185379
-274.755237,101,275.437551
-385.940814,89,275.666915
-312.137551,86,275.884886
-152.055321,87,276.098357
-86.955846,62,276.248994
-321.51209,94,276.489323
-257.569294,136,276.846147
-198.457791,132,277.202005
-53.791415,65,277.357479
-109.650509,77,277.706464
-241.006182,80,277.906974
-486.404908,86,278.119848
5.304457,73,278.294115
-568.146743,120,278.609664
-162.530163,115,278.907754
-109.411453,81,279.111634
-174.436045,82,279.313407
-148.905217,102,279.56874
-304.39166,88,279.790761
-153.23726,70,279.959679
-149.198815,78,280.148635
-104.048447,92,280.381087
-46.624311,77,280.574882
-136.443968,75,280.763385
-121.444938,111,281.024321
-159.320044,68,281.186057
-274.666353,102,281.451891
-359.565121,151,281.842253
-90.293352,123,282.155268
-286.967318,70,282.324988
-120.340505,91,282.548156
-103.724565,62,282.696141
-176.52433,126,283.185017
-78.950256,83,283.390742
-264.545769,87,283.609756
-206.833466,74,283.788467
-305.00098,113,284.064816
-243.934436,102,284.322429
-262.654214,89,284.547725
-143.966954,85,284.765984
-211.223539,139,285.14474
-63.867391,92,285.377295
-157.621673,71,285.562564
-56.459137,83,285.773554
-96.978249,155,286.197936
-205.082241,159,286.628753
-130.869315,99,286.884244
-331.649866,77,287.077162
-277.527695,97,287.335075
-34.464646,72,287.510139
-486.806509,112,287.795589
-413.845258,93,288.031092
-388.960431,105,288.436444
-376.413473,91,288.669703
-173.089476,129,289.015693
-81.315319,83,289.230369
-179.737253,86,289.45516
-118.960276,74,289.631061
-93.972694,74,289.820016
-222.939794,98,290.073117
-287.853537,101,290.329371
-119.176543,89,290.552918
-245.072794,105,290.831412
-75.352589,66,290.987904
-60.455068,66,291.151814
-148.164169,99,291.406388
-67.336668,80,291.606206
-395.76872,114,291.907957
-195.88121,103,292.172387
-241.876043,119,292.482353
-340.784737,101,292.737514
-381.032565,150,293.146038
-356.544471,104,293.416613
-212.102501,124,293.892625
-244.798976,143,294.272607
-125.097503,94,294.51725
-253.514664,68,294.683787
-103.469,151,295.097368
-89.584516,113,295.391972
-94.549727,82,295.599335
-280.556585,83,295.809899
-230.06682,101,296.079901
-289.435814,118,296.396249
-162.384251,137,296.752536
-109.62591,90,296.976158
-359.8305,82,297.181192
-427.784739,76,297.381345
-108.48984,108,297.668403
-229.655592,102,297.942422
-547.47529,123,298.262051
-379.629886,124,298.595215
-402.898333,128,298.939398
-170.371904,111,299.365554
-180.352211,133,299.707627
-222.92244,101,299.956822
-637.743712,127,300.289926
-321.330546,71,300.462634
-268.949423,125,300.782782
-343.960877,103,301.046828
-251.809814,130,301.389562
-285.16793,128,301.742746
-218.641005,104,302.004189
-340.792852,109,302.284565
-96.028822,106,302.551804
-505.567509,111,302.835679
-404.500305,101,303.09253
-96.760816,116,303.402343
-296.224426,98,303.643209
-241.444641,105,303.910385
-151.117417,195,304.464417
-97.035792,114,304.891263
-474.135459,100,305.140182
-326.87708,96,305.386029
-89.1377,74,305.571616
-37.987259,77,305.759159
-525.241622,131,306.113812
-274.227801,110,306.393267
-121.163422,113,306.696287
-204.291324,70,306.893491
-96.790708,80,307.097288
-233.285,119,307.404054
-217.686936,80,307.608567
-371.050159,84,307.829254
