eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
94.49,-198.03301244999994,568,0.0005857653,0.00012207031,2.8135138,-0.00031588695,231.10075,0.0004062056541442871,300,614400,1058.694576504,614400
107.6,-219.55733823999998,552,0.00069764245,0.00048828125,2.8322203,-0.0020800475,639.5695,-0.0023429393768310547,310,634880,1095.398307505,634880
101.41,-211.29256028,593,0.0020895181,0.020629883,2.8259606,-0.0022337614,282.82693,-0.001202225685119629,320,655360,1132.3456833270002,655360
93.58,-233.21058023999998,560,0.0004705733,0.00012207031,2.8251705,-0.0012327738,352.28256,-0.00017976760864257812,330,675840,1168.9661215240003,675840
88.31,-188.01705066999995,588,0.00079309684,0.0009765625,2.8368843,-0.0012739552,335.0481,-2.384185791015625e-06,340,696320,1206.9664090390002,696320
89.07,-186.03458984999997,603,0.00015416455,0.0,2.8400376,-0.00043556513,233.13165,4.172325134277344e-06,350,716800,1241.7997723910003,716800
95.82,-192.52390507,570,0.0069678687,0.10583496,2.838036,-0.0061185164,164.5902,0.0011096000671386719,360,737280,1280.33184441,737280
97.47,-210.54145569,540,0.00044967036,0.0,2.8256757,-0.00018007011,316.0591,-0.005846381187438965,370,757760,1317.7049107880002,757760
106.33,-225.71721503,523,0.00040159657,0.0,2.8149364,-0.0006175029,509.99084,0.00021034479141235352,380,778240,1356.5392905180001,778240
104.76,-219.15280401,515,0.004158303,0.05041504,2.8216429,-0.00031036898,215.19638,-7.987022399902344e-06,390,798720,1396.026031844,798720
95.5,-180.05961383,478,0.004613079,0.056274414,2.835001,-0.0036168885,231.64783,-0.0007902383804321289,400,819200,1437.7661538050002,819200
101.73,-226.26746250000005,459,4.4525914e-06,0.0,2.8193817,7.360417e-06,357.09088,-0.0005980730056762695,410,839680,1481.2704722870003,839680
104.62,-215.31711166999997,430,0.0025458299,0.021362305,2.8234499,0.0002841917,319.3678,6.330013275146484e-05,420,860160,1526.6796285760001,860160
105.59,-235.53814620999998,409,0.00048347734,0.0,2.8111424,-0.0002504047,182.21233,3.2782554626464844e-06,430,880640,1574.9707271420002,880640
108.27,-215.36297182,383,0.0011517911,0.0010986328,2.7977736,-0.0003409047,323.74405,-6.282329559326172e-05,440,901120,1627.653202246,901120
90.21,-204.84828617,397,0.0026929637,0.026000977,2.798317,-0.0043849684,392.45117,-5.0902366638183594e-05,450,921600,1679.835238749,921600
97.96,-222.25092067000003,386,0.0035192017,0.033569336,2.7594872,-0.00069837767,434.99072,2.384185791015625e-06,460,942080,1731.993231593,942080
96.46,-200.20358802,392,0.0035104975,0.03161621,2.731201,0.00083443476,307.50522,4.470348358154297e-06,470,962560,1787.0883617190002,962560
99.62,-188.33036296000006,383,0.00067183276,0.00012207031,2.7260456,-0.0010439656,247.15318,-5.125999450683594e-06,480,983040,1840.0066733440003,983040
100.33,-239.8296132600001,383,3.451152e-05,0.0,2.7225282,-0.00030520515,317.1564,1.1920928955078125e-07,490,1003520,1893.533292739,1003520
112.74,-255.36308483999994,377,0.00037381882,0.0,2.7217507,-0.0009366488,216.6306,5.960464477539063e-08,500,1024000,1947.4601107180001,1024000
99.17,-220.61689732000005,375,0.0027608369,0.021850586,2.720504,-0.002920736,333.99698,-6.020069122314453e-05,510,1044480,2000.960938092,1044480
110.89,-271.81594535000005,379,0.0013950579,0.0030517578,2.7135391,-0.00058872177,311.71906,0.0,520,1064960,2055.39307534,1064960
105.21,-225.97107655000002,379,8.357503e-05,0.0,2.7043865,-0.00024688436,494.65,2.980232238769531e-07,530,1085440,2109.3987680130003,1085440
116.28,-254.72597623,380,0.00014822466,0.0,2.6958942,-0.00013684305,262.50778,-3.3974647521972656e-05,540,1105920,2164.3357610810003,1105920
104.91,-243.62557672000005,379,0.00013333585,0.0,2.6706114,-0.00034380762,277.74167,-9.059906005859375e-06,550,1126400,2217.744189479,1126400
105.36,-233.21987362,383,0.000118374155,0.0,2.674579,-0.00017747267,397.04807,0.0,560,1146880,2271.30562335,1146880
106.25,-202.72376112999999,388,0.002793444,0.023925781,2.687856,-0.0026693128,348.61816,0.0001360774040222168,570,1167360,2327.827007577,1167360
